Model_Name,Price,CC,Mileage,Weight
KTM 250 Adventure,242000,248.0 CC,35 Km/l,177 Kg
JAWA 300,180415,293.0 CC,37.5 Km/l,170 Kg
Harley-Davidson CVO Limited,4999000,1923.0 CC,8 Km/l,411 Kg
Honda CRF1000L Africa Twin,1350000,999.1 CC,16 Km/l,243 Kg
Kawasaki Ninja ZX-6R,1049000,636.0 CC,23.59 Km/l,196 Kg
Ducati Panigale V4,2350000,1103.0 CC,14.5 Km/l,195 Kg
Honda CBR650R,935000,648.7 CC,25 Km/l,211 Kg
BMW R 1250 GS Adventure,2240000,1254.0 CC,21 Km/l,268 Kg
Harley-Davidson Roadster,1099000,1202.0 CC,20 Km/l,250 Kg
Kawasaki KLX 110,299500,112.0 CC,80 Km/l,76 Kg
TVS Apache RTR 165 RP,145001,164.9 CC,,148 Kg
Ducati Monster 797,803000,803.0 CC,18.86 Km/l,193 Kg
Aprilia SR 160,117494,160.0 CC,35 Km/l,122 Kg
Kawasaki Z1000R,1610000,1043.0 CC,15 Km/l,221 Kg
BMW S 1000 R,1790000,999.0 CC,21 Km/l,199 Kg
MV Agusta Brutale 800 RR,2052356,798.0 CC,18 Km/l,175 Kg
Bajaj Pulsar F250,140000,249.1 CC,40 Km/l,164 Kg
Ducati Monster 821,1099000,821.0 CC,13 - 18.51 Km/l,205 Kg
Kawasaki Ninja ZX-14R,1970000,1441.0 CC,18 Km/l,269 Kg
Aprilia RSV4,2369000,1099.0 CC,12 Km/l,202 Kg
BMW 850 GS,1250000,853.0 CC,22 Km/l,229 Kg
BMW 750 GS,899000,853.0 CC,22 Km/l,224 Kg
KTM 790 Duke,863945,799.0 CC,22.72 Km/l,169 Kg
Harley-Davidson Forty-Eight,1061000,1202.0 CC,20 Km/l,252 Kg
Ducati  Multistrada V2,1465000,937.0 CC,16 Km/l,230 Kg
Piaggio Vespa 150,122664,154.8 CC,45 Km/l,114 Kg
Benelli TRK 251,251000,249.0 CC,24.39 Km/l,164 Kg
Aprilia Storm 125,85431,124.5 CC,40 Km/l,122 Kg
Triumph Street Triple,915000,765.0 CC,19.1 Km/l,166 Kg
Harley-Davidson Sportster S,1551000,1252.0 CC,11.8 Km/l,228 Kg
Kawasaki Vulcan S,616000,649.0 CC,23 Km/l,235 Kg
Ducati Scrambler,799000,803.0 CC,20 Km/l,173 Kg
Indian Scout,1269500,1131.0 CC,25 Km/l,244 Kg
Mahindra Mojo,199000,295.0 CC,25 Km/l,186 Kg
Kawasaki Ninja H2 SX,2289000,998.0 CC,15 Km/l,256 Kg
Benelli Leoncino 250,250000,249.0 CC,37 Km/l,162 Kg
Suzuki Gixxer 250,171200,249.0 CC,38 Km/l,156 Kg
MV Agusta F4 RR,3883000,998.0 CC,15 Km/l,190 Kg
Moto Guzzi Audace,2314000,1380.0 CC,15 Km/l,299 Kg
Indian Chief Vintage,2532500,1811.0 CC,20 Km/l,379 Kg
Kawasaki Ninja H2 SX SE,2819000,998.0 CC,15 Km/l,260 Kg
Ducati Diavel 1260,1849000,1262.0 CC,18.5 Km/l,244 Kg
KTM 390 Adventure,335000,373.0 CC,25 Km/l,158 Kg
Harley-Davidson Street Bob,1259000,1745.0 CC,15 Km/l,286 Kg
Benelli Leoncino,470000,500.0 CC,24 Km/l,150 Kg
Indian Scout Sixty,1099500,999.0 CC,25 Km/l,254 Kg
Honda CB 650 R,867275,648.7 CC,25 Km/l,206 Kg
Ducati Hyperstrada,1215000,937.0 CC,20 Km/l,210 Kg
BMW K 1600 B,2810000,1649.0 CC,15 Km/l,350 Kg
Kawasaki Versys X-300,469000,296.0 CC,22 Km/l,184 Kg
Suzuki V-Strom 650XT,884000,645.0 CC,,216 Kg
FB Mondial HPS 300,337000,249.0 CC,26 Km/l,135 Kg
Honda CRF1100L Africa Twin,1601500,1084.0 CC,20.4 - 20.8 Km/l,239 Kg
Ducati Monster,1099000,937.0 CC,18.8 Km/l,188 Kg
Benelli TRK 502,486000,500.0 CC,30.97 Km/l,235 Kg
Ducati Scrambler 1100,1099000,1079.0 CC,19.2 Km/l,189 Kg
Kawasaki KX250F,799000,249.0 CC,25 Km/l,104 Kg
Indian Chief Dark Horse,2075922,1890.0 CC,20 Km/l,304 Kg
TVS Apache RTR 200 FI E100,120000,197.8 CC,42 Km/l,152 Kg
Indian Roadmaster,3900000,1811.0 CC,15 Km/l,421 Kg
Harley-Davidson Softail Low Rider,1375000,1745.0 CC,15 Km/l,300 Kg
Ducati 959 Panigale,1469000,955.0 CC,18 Km/l,200 Kg
BMW F900R,1080000,895.0 CC,24 Km/l,211 Kg
Harley-Davidson Softail Deluxe,1865000,1745.0 CC,15 Km/l,316 Kg
Aprilia SR 125,107595,125.0 CC,40 Km/l,122 Kg
Harley-Davidson 1200 Custom,1089000,1202.0 CC,24 Km/l,268 Kg
BMW R 1200 GS Adventure,1725000,1170.0 CC,20 Km/l,263 Kg
Ducati 1299 Panigale,5182000,1285.0 CC,15 Km/l,190 Kg
Honda CB500X,687386,471.0 CC,28.6 Km/l,199 Kg
Honda CB1000R +,1446657,998.0 CC,18 Km/l,213 Kg
MV Agusta Brutale 800,1698553,798.0 CC,18 Km/l,175 Kg
Ducati Multistrada 950,1549000,937.0 CC,16 Km/l,230 Kg
Ducati Multistrada 1260,1599000,1262.0 CC,19.2 Km/l,232 Kg
Triumph Trident 660,745000,660.0 CC,,189 Kg
Aprilia SXR 160,126000,160.0 CC,,129 Kg
Kawasaki KLX 140G,406600,144.0 CC,,99 Kg
MV Agusta Turismo Veloce 800,2080665,798.0 CC,17 Km/l,191 Kg
Kawasaki W800 Street,733000,773.0 CC,14 Km/l,221 Kg
Moto Guzzi V9 Roamer,1479000,850.0 CC,18 Km/l,199 Kg
Triumph Tiger 900,1370000,888.0 CC,17 - 24 Km/l,194 Kg
Kawasaki KLX 450R,899000,449.0 CC,23 Km/l,126 Kg
Ducati Monster 1200,2010000,1198.0 CC,15 Km/l,211 Kg
CFMoto 300NK,229000,292.4 CC,33 Km/l,151 Kg
Triumph Thruxton R,1192000,1200.0 CC,21 Km/l,203 Kg
BMW R 1250 R,1625000,1254.0 CC,21 Km/l,239 Kg
Benelli BN 302R,310000,300.0 CC,20 Km/l,198 Kg
BMW S 1000 XR,2130000,999.0 CC,20 Km/l,216 Kg
BMW R 1200 RT,1835000,1170.0 CC,20 Km/l,276 Kg
MV Agusta Dragster 800 RR,2052356,798.0 CC,14.9 Km/l,168 Kg
Kawasaki Z H2,2190000,998.0 CC,15 Km/l,239 Kg
Lohia Omastar,40850,48.0 CC,60 Km/Full Charge,66 Kg
Indian FTR 1200,1599000,1203.0 CC,18 Km/l,218 Kg
Triumph Bonneville Bobber,1225000,1200.0 CC,24 Km/l,251 Kg
CFMoto 650NK,429000,649.0 CC,21 Km/l,206 Kg
Triumph Bonneville T120,1099000,1200.0 CC,18 Km/l,217 Kg
Ducati XDiavel,1648000,1262.0 CC,15 Km/l,247 Kg
BMW R nineT Scrambler,1675000,1197.0 CC,20 Km/l,220 Kg
Triumph Bonneville T100,949000,900.0 CC,26.3 Km/l,228 Kg
Indian Springfield,3350000,1811.0 CC,14 Km/l,391 Kg
Kawasaki Z650,624000,649.0 CC,18 Km/l,186 Kg
Avantura Choppers Pravega,2140000,2025.7 CC,18 Km/l,347 Kg
Ducati Hypermotard,1112000,937.0 CC,20 Km/l,204 Kg
CFMoto 650GT,559000,649.3 CC,20 Km/l,226 Kg
BMW M 1000 RR,4200000,999.0 CC,,192 Kg
Ducati Multistrada 1200,1532000,1198.4 CC,18 Km/l,232 Kg
BMW R 1200 RS,1555000,1170.0 CC,20 Km/l,236 Kg
Ducati Scrambler Desert Sled,980000,803.0 CC,20 Km/l,191 Kg
Aprilia RS 660,1339000,659.0 CC,,183 Kg
Triumph Street Scrambler,935000,900.0 CC,18 Km/l,223 Kg
Triumph Rocket 3,1990000,2458.0 CC,13 - 14.66 Km/l,291 Kg
Indian Chieftain,3201000,1811.0 CC,20 Km/l,389 Kg
Benelli 502C,498000,500.0 CC,20 Km/l,216 Kg
Triumph Tiger Sport 660,895000,660.0 CC,,206 Kg
Cleveland Cyclewerks Misfit,249000,229.0 CC,30 Km/l,133 Kg
Indian Roadmaster Elite,4800000,1811.0 CC,15 Km/l,433 Kg
Ducati Multistrada 1200 Enduro,1799000,1198.4 CC,24 Km/l,254 Kg
Harley-Davidson Street Glide Special,3053000,1745.0 CC,15 Km/l,361 Kg
Moto Guzzi Eldorado,2367000,1380.0 CC,14 Km/l,314 Kg
BMW C 400 GT,995000,350.0 CC,,202 Kg
Ducati Multistrada V4,1899000,1158.0 CC,,232 Kg
Aprilia SXR 125,115000,125.0 CC,,129 Kg
Triumph Speedmaster,1195000,1200.0 CC,23.25 Km/l,263 Kg
Harley-Davidson Road King,2499000,1745.0 CC,17 Km/l,362 Kg
Indian Chief Bobber Dark Horse,2139925,1890.0 CC,20 Km/l,315 Kg
Kawasaki KX 450,859000,449.0 CC,25 Km/l,110 Kg
BMW R 18,1990000,1802.0 CC,17.8 Km/l,345 Kg
Triumph Scrambler 1200,1073000,1200.0 CC,20.4 Km/l,225 Kg
Triumph Tiger 850 Sport,1195000,888.0 CC,24 Km/l,192 Kg
Kawasaki Z900RS,1570000,948.0 CC,20 Km/l,215 Kg
Kawasaki Versys 650,715000,649.0 CC,20 Km/l,216 Kg
Harley-Davidson Fat Bob,1459000,1745.0 CC,15 Km/l,296 Kg
Ducati SuperSport,1349000,937.0 CC,20 Km/l,210 Kg
Avantura Choppers Rudra,2390000,2025.7 CC,19 Km/l,344 Kg
Kawasaki Versys 1000,1172000,1043.0 CC,14 Km/l,255 Kg
Harley-Davidson Pan America 1250,1690000,1252.0 CC,18 Km/l,242 Kg
Ducati Panigale V2,1748826,955.0 CC,16 Km/l,197 Kg
BMW R 1250 RT,2250000,1254.0 CC,21 Km/l,279 Kg
Moto Guzzi MGX-21,3026000,1380.0 CC,15 Km/l,341 Kg
Kawasaki Z650RS,672000,649.0 CC,,192 Kg
Triumph Speed Triple 1200 RS,1695000,1160.0 CC,22 Km/l,198 Kg
Triumph Street Twin,795000,900.0 CC,18 Km/l,216 Kg
Ducati StreetFighter V4,1999000,1103.0 CC,,199 Kg
Kawasaki KX 100,487800,99.0 CC,55 Km/l,77 Kg
Ducati Hypermotard 950,1402278,937.0 CC,9 Km/l,176 Kg
Moto Guzzi V9 Bobber,1479000,850.0 CC,18 Km/l,199 Kg
Aprilia Tuono 660,1309000,659.0 CC,,183 Kg
BMW R 1200 R,1505000,1170.0 CC,20 Km/l,232 Kg
Triumph  Speed Twin,1099000,1200.0 CC,20.8 Km/l,216 Kg
Aprilia Tuono V4,2066000,1077.0 CC,14 Km/l,209 Kg
Harley-Davidson Heritage Softail Classic,1971000,1745.0 CC,15 Km/l,316 Kg
CFMoto 650MT,529000,649.0 CC,20 Km/l,218 Kg
BMW K 1600 GTL,2930000,1649.0 CC,13 Km/l,332 Kg
Indian Chieftain Dark Horse,2999000,1811.0 CC,18 Km/l,377 Kg
Moto Guzzi V85 TT,1540000,853.0 CC,20.4 Km/l,229 Kg
Indian Super Chief Limited,2282155,1890.0 CC,,324 Kg
Indian Chief Classic,2129500,1811.0 CC,20 Km/l,357 Kg
Cleveland Cyclewerks Ace Deluxe,223000,229.0 CC,33.98 Km/l,133 Kg
Harley-Davidson Road Glide Special,3299000,1745.0 CC,15 Km/l,372 Kg
Indian Chieftain Elite,3800000,1811.0 CC,18 Km/l,388 Kg
MV Agusta Brutale 1090,2102268,1078.0 CC,15 Km/l,183 Kg
BMW F900XR,1230000,895.0 CC,24 Km/l,219 Kg
Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
