,Model_Name,Price,CC,Mileage,Weight
55,Yamaha YZF R1,2039233,998.0 CC,20 Km/l,200 Kg
56,Honda CD 110 Dream,65248,109.5 CC,74 Km/l,109 Kg
57,Bajaj Platina 110,65930,115.0 CC,80 Km/l,108 Kg
58,Bajaj Pulsar 200 NS,131219,199.5 CC,35 Km/l,152 Kg
59,TVS Apache RTR 160,112940,159.7 CC,48 Km/l,139 Kg
60,Honda Hornet 2.0,132238,184.4 CC,40 Km/l,142 Kg
61,KTM RC 200,213000,199.5 CC,35 Km/l,151 Kg
62,Bajaj Platina 100,52915,102.0 CC,96.9 Km/l,117 Kg
63,Suzuki Gixxer SF,129300,154.9 CC,47 Km/l,146 Kg
64,TVS Jupiter,70085,109.7 CC,62 Km/l,109 Kg
65,Yamaha Aerox 155,129000,155.0 CC,,122 Kg
66,Bajaj Avenger Cruise 220,122630,220.0 CC,40 Km/l,159 Kg
67,Honda Livo,70799,109.5 CC,74 Km/l,115 Kg
68,Kawasaki Ninja 300,337000,296.0 CC,26 Km/l,179 Kg
69,TVS Ntorq 125,77106,124.8 CC,60 Km/l,118 Kg
70,Yamaha FZ 25,134800,249.0 CC,43 Km/l,153 Kg
71,Honda X-Blade,111895,162.7 CC,45 Km/l,143 Kg
72,Suzuki V-Strom SX 250,211600,249.0 CC,,167 Kg
73,Honda Activa 125 FI,72637,124.0 CC,45 Km/l,111 Kg
74,Bajaj CT 100,40794,102.0 CC,89.5 Km/l,114 Kg
75,Hero HF 100,49400,97.2 CC,70 Km/l,110 Kg
76,Suzuki New Access 125,72600,124.0 CC,64 Km/l,103 Kg
77,Bajaj Pulsar NS160,110086,160.3 CC,45 Km/l,151 Kg
78,KTM RC 390,314000,373.2 CC,35 Km/l,147 Kg
80,JAWA Forty Two,171415,293.0 CC,37.5 Km/l,170 Kg
81,Yamaha Fascino 125,70000,125.0 CC,66 Km/l,99 Kg
82,Bajaj Pulsar 180,108000,178.6 CC,45 Km/l,151 Kg
83,Hero Destini 125,67990,124.6 CC,54 Km/l,113 Kg
84,Honda CB 350 RS,196006,348.4 CC,35 Km/l,179 Kg
85,KTM 250 Duke,228736,248.8 CC,30 Km/l,169 Kg
86,TVS Apache RTR 160 4V,111565,159.7 CC,30 Km/l,145 Kg
87,BMW G 310 R,250000,313.0 CC,30 Km/l,158 Kg
89,Yamaha Ray-ZR 125FI,73330,125.0 CC,66 Km/l,99 Kg
90,TVS Radeon,59942,109.7 CC,69 Km/l,116 Kg
91,Suzuki Hayabusa,1640000,1340.0 CC,11 Km/l,266 Kg
93,KTM 390 Duke,287545,373.2 CC,35 Km/l,167 Kg
94,Yamaha MT-09,1055354,847.0 CC,19 Km/l,193 Kg
95,TVS Sport,52500,109.7 CC,76.4 Km/l,110 Kg
97,Bajaj Pulsar N250,138000,249.1 CC,,162 Kg
98,Benelli TNT 600i,620000,600.0 CC,19 Km/l,231 Kg
99,Honda CBR 1000RR,1643309,999.0 CC,18 Km/l,195 Kg
100,Yezdi Roadster,198142,334.0 CC,,184 Kg
101,Suzuki Avenis,86500,124.3 CC,55 Km/l,106 Kg
102,TVS Scooty Pep +,52554,87.8 CC,65 Km/l,95 Kg
103,TVS Apache RR 310,259000,312.2 CC,30 Km/l,170 Kg
105,KTM 200 Duke,190000,199.5 CC,35 Km/l,159 Kg
106,Suzuki Gixxer SF 250,181900,249.0 CC,38.5 Km/l,161 Kg
107,Kawasaki Ninja ZX-10R,1537000,998.0 CC,15 Km/l,206 Kg
108,BMW S 1000 RR,1950000,999.0 CC,17 Km/l,197 Kg
109,Suzuki Burgman,84300,124.0 CC,53.5 Km/l,110 Kg
111,Bajaj Dominar 250,154176,248.8 CC,35 Km/l,180 Kg
112,TVS Star City +,65865,109.7 CC,86 Km/l,116 Kg
113,TVS Apache RTR 180,103950,177.4 CC,47 Km/l,139 Kg
114,Bajaj CT 110,46413,115.0 CC,104 Km/l,117 Kg
115,Yamaha FZ-X,116800,149.0 CC,,139 Kg
116,Bajaj Avenger Street 160,101094,160.3 CC,45 Km/l,156 Kg
118,Kawasaki Ninja 650,668000,649.0 CC,21 Km/l,196 Kg
119,TVS Victor,54042,109.7 CC,72 - 76 Km/l,112 Kg
121,Honda Grazia,82566,124.0 CC,54 Km/l,107 Kg
125,Bajaj Avenger Street 220,103891,220.0 CC,45 Km/l,150 Kg
126,JAWA Perak,208187,334.0 CC,35 Km/l,175 Kg
127,Bajaj Pulsar RS 200,152179,199.5 CC,35 Km/l,165 Kg
128,Piaggio Vespa,91492,125.0 CC,45 Km/l,114 Kg
129,BMW R 1250 GS,2045000,1254.0 CC,21 Km/l,249 Kg
130,Suzuki Intruder,126500,154.9 CC,44 Km/l,152 Kg
131,KTM 125 Duke,176000,124.7 CC,34.5 Km/l,148 Kg
132,Honda Gold Wing,3971822,1833.0 CC,14 Km/l,390 Kg
133,TVS Jupiter 125,73400,124.8 CC,50 Km/l,109 Kg
134,Suzuki Gixxer,118800,154.9 CC,64 Km/l,140 Kg
135,Aprilia SR 150,75733,154.8 CC,40 Km/l,122 Kg
136,Honda CB200X,144500,184.4 CC,,147 Kg
137,Husqvarna Svartpilen 250,218000,248.8 CC,35 Km/l,154 Kg
138,TVS Scooty Zest 110,59925,109.7 CC,62 Km/l,97 Kg
139,Yamaha R15S V3.0,158939,155.0 CC,,142 Kg
140,Kawasaki Ninja 400,499000,399.0 CC,25 Km/l,173 Kg
141,Kawasaki Z900,850000,948.0 CC,15 Km/l,208 Kg
142,Kawasaki Ninja 1000,1151000,1043.0 CC,17 Km/l,238 Kg
143,Yamaha FZ V3.0 FI,99200,149.0 CC,45 Km/l,137 Kg
144,Honda H Ness CB 350,196239,348.4 CC,42 Km/l,181 Kg
145,Indian Scout Bobber,1199000,1133.0 CC,14 Km/l,245 Kg
146,BMW R nine T,1850000,1170.0 CC,22 Km/l,208 Kg
147,Yamaha Fazer 25,144180,249.0 CC,43 Km/l,154 Kg
148,Kawasaki Ninja H2,3499000,998.0 CC,15 Km/l,238 Kg
149,JAWA 42,193142,293.0 CC,37 Km/l,170 Kg
150,Bajaj Dominar 400 [2019],202755,373.3 CC,27 Km/l,184 Kg
152,TVS Apache RTR 200 4V,129315,197.8 CC,32 Km/l,149 Kg
153,Kawasaki Z1000,1510000,1043.0 CC,15 Km/l,221 Kg
155,Kawasaki Z250,308000,249.0 CC,26 Km/l,168 Kg
156,BMW G 310 GS,290000,313.0 CC,30 Km/l,169 Kg
157,Benelli Imperiale 400,189799,374.0 CC,31.25 Km/l,205 Kg
158,Husqvarna Vitpilen 250,215000,248.8 CC,35 Km/l,152 Kg
159,MV Agusta F3 800 RC,2149086,798.0 CC,14 Km/l,173 Kg
160,Yezdi Scrambler,204900,334.0 CC,,182 Kg
161,Yamaha FZS 25,143300,249.0 CC,43 Km/l,154 Kg
162,BMW R 1200,1585000,1170.0 CC,18 - 24 Km/l,244 Kg
163,Harley-Davidson Fat Boy,1825000,1868.0 CC,15 Km/l,304 Kg
164,BMW K 1600,2830000,1649.0 CC,15 Km/l,350 Kg
165,Honda CB300R,277000,286.0 CC,30.2 Km/l,146 Kg
167,Triumph Tiger 1200,1919000,1160.0 CC,18 Km/l,245 Kg
168,Harley-Davidson Iron 883,938000,883.0 CC,20 Km/l,256 Kg
169,Yezdi Adventure,209900,334.0 CC,,188 Kg
171,Kawasaki Ninja ZX-10RR,1698000,998.0 CC,15 Km/l,206 Kg
172,KTM 250 Adventure,242000,248.0 CC,35 Km/l,177 Kg
173,JAWA 300,180415,293.0 CC,37.5 Km/l,170 Kg
174,Harley-Davidson CVO Limited,4999000,1923.0 CC,8 Km/l,411 Kg
175,Honda CRF1000L Africa Twin,1350000,999.1 CC,16 Km/l,243 Kg
177,Kawasaki Ninja ZX-6R,1049000,636.0 CC,23.59 Km/l,196 Kg
178,Ducati Panigale V4,2350000,1103.0 CC,14.5 Km/l,195 Kg
179,Honda CBR650R,935000,648.7 CC,25 Km/l,211 Kg
180,BMW R 1250 GS Adventure,2240000,1254.0 CC,21 Km/l,268 Kg
181,Harley-Davidson Roadster,1099000,1202.0 CC,20 Km/l,250 Kg
182,Kawasaki KLX 110,299500,112.0 CC,80 Km/l,76 Kg
183,TVS Apache RTR 165 RP,145001,164.9 CC,,148 Kg
184,Ducati Monster 797,803000,803.0 CC,18.86 Km/l,193 Kg
185,Aprilia SR 160,117494,160.0 CC,35 Km/l,122 Kg
186,Kawasaki Z1000R,1610000,1043.0 CC,15 Km/l,221 Kg
187,BMW S 1000 R,1790000,999.0 CC,21 Km/l,199 Kg
189,MV Agusta Brutale 800 RR,2052356,798.0 CC,18 Km/l,175 Kg
190,Bajaj Pulsar F250,140000,249.1 CC,40 Km/l,164 Kg
192,Ducati Monster 821,1099000,821.0 CC,13 - 18.51 Km/l,205 Kg
193,Kawasaki Ninja ZX-14R,1970000,1441.0 CC,18 Km/l,269 Kg
194,Aprilia RSV4,2369000,1099.0 CC,12 Km/l,202 Kg
195,BMW 850 GS,1250000,853.0 CC,22 Km/l,229 Kg
197,BMW 750 GS,899000,853.0 CC,22 Km/l,224 Kg
199,KTM 790 Duke,863945,799.0 CC,22.72 Km/l,169 Kg
201,Harley-Davidson Forty-Eight,1061000,1202.0 CC,20 Km/l,252 Kg
202,Ducati  Multistrada V2,1465000,937.0 CC,16 Km/l,230 Kg
203,Piaggio Vespa 150,122664,154.8 CC,45 Km/l,114 Kg
204,Benelli TRK 251,251000,249.0 CC,24.39 Km/l,164 Kg
206,Aprilia Storm 125,85431,124.5 CC,40 Km/l,122 Kg
207,Triumph Street Triple,915000,765.0 CC,19.1 Km/l,166 Kg
208,Harley-Davidson Sportster S,1551000,1252.0 CC,11.8 Km/l,228 Kg
209,Kawasaki Vulcan S,616000,649.0 CC,23 Km/l,235 Kg
210,Ducati Scrambler,799000,803.0 CC,20 Km/l,173 Kg
211,Indian Scout,1269500,1131.0 CC,25 Km/l,244 Kg
212,Mahindra Mojo,199000,295.0 CC,25 Km/l,186 Kg
213,Kawasaki Ninja H2 SX,2289000,998.0 CC,15 Km/l,256 Kg
214,Benelli Leoncino 250,250000,249.0 CC,37 Km/l,162 Kg
215,Suzuki Gixxer 250,171200,249.0 CC,38 Km/l,156 Kg
216,MV Agusta F4 RR,3883000,998.0 CC,15 Km/l,190 Kg
217,Moto Guzzi Audace,2314000,1380.0 CC,15 Km/l,299 Kg
218,Indian Chief Vintage,2532500,1811.0 CC,20 Km/l,379 Kg
220,Kawasaki Ninja H2 SX SE,2819000,998.0 CC,15 Km/l,260 Kg
221,Ducati Diavel 1260,1849000,1262.0 CC,18.5 Km/l,244 Kg
222,KTM 390 Adventure,335000,373.0 CC,25 Km/l,158 Kg
223,Harley-Davidson Street Bob,1259000,1745.0 CC,15 Km/l,286 Kg
224,Benelli Leoncino,470000,500.0 CC,24 Km/l,150 Kg
225,Indian Scout Sixty,1099500,999.0 CC,25 Km/l,254 Kg
226,Honda CB 650 R,867275,648.7 CC,25 Km/l,206 Kg
227,Ducati Hyperstrada,1215000,937.0 CC,20 Km/l,210 Kg
228,BMW K 1600 B,2810000,1649.0 CC,15 Km/l,350 Kg
229,Kawasaki Versys X-300,469000,296.0 CC,22 Km/l,184 Kg
231,Suzuki V-Strom 650XT,884000,645.0 CC,,216 Kg
234,FB Mondial HPS 300,337000,249.0 CC,26 Km/l,135 Kg
235,Honda CRF1100L Africa Twin,1601500,1084.0 CC,20.4 - 20.8 Km/l,239 Kg
236,Ducati Monster,1099000,937.0 CC,18.8 Km/l,188 Kg
238,Benelli TRK 502,486000,500.0 CC,30.97 Km/l,235 Kg
239,Ducati Scrambler 1100,1099000,1079.0 CC,19.2 Km/l,189 Kg
240,Kawasaki KX250F,799000,249.0 CC,25 Km/l,104 Kg
241,Indian Chief Dark Horse,2075922,1890.0 CC,20 Km/l,304 Kg
242,TVS Apache RTR 200 FI E100,120000,197.8 CC,42 Km/l,152 Kg
244,Indian Roadmaster,3900000,1811.0 CC,15 Km/l,421 Kg
245,Harley-Davidson Softail Low Rider,1375000,1745.0 CC,15 Km/l,300 Kg
246,Ducati 959 Panigale,1469000,955.0 CC,18 Km/l,200 Kg
248,BMW F900R,1080000,895.0 CC,24 Km/l,211 Kg
250,Harley-Davidson Softail Deluxe,1865000,1745.0 CC,15 Km/l,316 Kg
251,Aprilia SR 125,107595,125.0 CC,40 Km/l,122 Kg
252,Harley-Davidson 1200 Custom,1089000,1202.0 CC,24 Km/l,268 Kg
253,BMW R 1200 GS Adventure,1725000,1170.0 CC,20 Km/l,263 Kg
254,Ducati 1299 Panigale,5182000,1285.0 CC,15 Km/l,190 Kg
255,Honda CB500X,687386,471.0 CC,28.6 Km/l,199 Kg
257,Honda CB1000R +,1446657,998.0 CC,18 Km/l,213 Kg
258,MV Agusta Brutale 800,1698553,798.0 CC,18 Km/l,175 Kg
259,Ducati Multistrada 950,1549000,937.0 CC,16 Km/l,230 Kg
260,Ducati Multistrada 1260,1599000,1262.0 CC,19.2 Km/l,232 Kg
261,Triumph Trident 660,745000,660.0 CC,,189 Kg
262,Aprilia SXR 160,126000,160.0 CC,,129 Kg
263,Kawasaki KLX 140G,406600,144.0 CC,,99 Kg
264,MV Agusta Turismo Veloce 800,2080665,798.0 CC,17 Km/l,191 Kg
265,Kawasaki W800 Street,733000,773.0 CC,14 Km/l,221 Kg
266,Moto Guzzi V9 Roamer,1479000,850.0 CC,18 Km/l,199 Kg
267,Triumph Tiger 900,1370000,888.0 CC,17 - 24 Km/l,194 Kg
268,Kawasaki KLX 450R,899000,449.0 CC,23 Km/l,126 Kg
269,Ducati Monster 1200,2010000,1198.0 CC,15 Km/l,211 Kg
270,CFMoto 300NK,229000,292.4 CC,33 Km/l,151 Kg
271,Triumph Thruxton R,1192000,1200.0 CC,21 Km/l,203 Kg
274,BMW R 1250 R,1625000,1254.0 CC,21 Km/l,239 Kg
275,Benelli BN 302R,310000,300.0 CC,20 Km/l,198 Kg
276,BMW S 1000 XR,2130000,999.0 CC,20 Km/l,216 Kg
278,BMW R 1200 RT,1835000,1170.0 CC,20 Km/l,276 Kg
279,MV Agusta Dragster 800 RR,2052356,798.0 CC,14.9 Km/l,168 Kg
280,Kawasaki Z H2,2190000,998.0 CC,15 Km/l,239 Kg
281,Lohia Omastar,40850,48.0 CC,60 Km/Full Charge,66 Kg
282,Indian FTR 1200,1599000,1203.0 CC,18 Km/l,218 Kg
283,Triumph Bonneville Bobber,1225000,1200.0 CC,24 Km/l,251 Kg
284,CFMoto 650NK,429000,649.0 CC,21 Km/l,206 Kg
286,Triumph Bonneville T120,1099000,1200.0 CC,18 Km/l,217 Kg
287,Ducati XDiavel,1648000,1262.0 CC,15 Km/l,247 Kg
289,BMW R nineT Scrambler,1675000,1197.0 CC,20 Km/l,220 Kg
290,Triumph Bonneville T100,949000,900.0 CC,26.3 Km/l,228 Kg
291,Indian Springfield,3350000,1811.0 CC,14 Km/l,391 Kg
292,Kawasaki Z650,624000,649.0 CC,18 Km/l,186 Kg
293,Avantura Choppers Pravega,2140000,2025.7 CC,18 Km/l,347 Kg
294,Ducati Hypermotard,1112000,937.0 CC,20 Km/l,204 Kg
297,CFMoto 650GT,559000,649.3 CC,20 Km/l,226 Kg
298,BMW M 1000 RR,4200000,999.0 CC,,192 Kg
299,Ducati Multistrada 1200,1532000,1198.4 CC,18 Km/l,232 Kg
300,BMW R 1200 RS,1555000,1170.0 CC,20 Km/l,236 Kg
301,Ducati Scrambler Desert Sled,980000,803.0 CC,20 Km/l,191 Kg
302,Aprilia RS 660,1339000,659.0 CC,,183 Kg
303,Triumph Street Scrambler,935000,900.0 CC,18 Km/l,223 Kg
305,Triumph Rocket 3,1990000,2458.0 CC,13 - 14.66 Km/l,291 Kg
306,Indian Chieftain,3201000,1811.0 CC,20 Km/l,389 Kg
307,Benelli 502C,498000,500.0 CC,20 Km/l,216 Kg
308,Triumph Tiger Sport 660,895000,660.0 CC,,206 Kg
309,Cleveland Cyclewerks Misfit,249000,229.0 CC,30 Km/l,133 Kg
310,Indian Roadmaster Elite,4800000,1811.0 CC,15 Km/l,433 Kg
311,Ducati Multistrada 1200 Enduro,1799000,1198.4 CC,24 Km/l,254 Kg
313,Harley-Davidson Street Glide Special,3053000,1745.0 CC,15 Km/l,361 Kg
315,Moto Guzzi Eldorado,2367000,1380.0 CC,14 Km/l,314 Kg
316,BMW C 400 GT,995000,350.0 CC,,202 Kg
318,Ducati Multistrada V4,1899000,1158.0 CC,,232 Kg
319,Aprilia SXR 125,115000,125.0 CC,,129 Kg
321,Triumph Speedmaster,1195000,1200.0 CC,23.25 Km/l,263 Kg
322,Harley-Davidson Road King,2499000,1745.0 CC,17 Km/l,362 Kg
323,Indian Chief Bobber Dark Horse,2139925,1890.0 CC,20 Km/l,315 Kg
324,Kawasaki KX 450,859000,449.0 CC,25 Km/l,110 Kg
326,BMW R 18,1990000,1802.0 CC,17.8 Km/l,345 Kg
327,Triumph Scrambler 1200,1073000,1200.0 CC,20.4 Km/l,225 Kg
328,Triumph Tiger 850 Sport,1195000,888.0 CC,24 Km/l,192 Kg
329,Kawasaki Z900RS,1570000,948.0 CC,20 Km/l,215 Kg
331,Kawasaki Versys 650,715000,649.0 CC,20 Km/l,216 Kg
332,Harley-Davidson Fat Bob,1459000,1745.0 CC,15 Km/l,296 Kg
335,Ducati SuperSport,1349000,937.0 CC,20 Km/l,210 Kg
336,Avantura Choppers Rudra,2390000,2025.7 CC,19 Km/l,344 Kg
337,Kawasaki Versys 1000,1172000,1043.0 CC,14 Km/l,255 Kg
338,Harley-Davidson Pan America 1250,1690000,1252.0 CC,18 Km/l,242 Kg
339,Ducati Panigale V2,1748826,955.0 CC,16 Km/l,197 Kg
340,BMW R 1250 RT,2250000,1254.0 CC,21 Km/l,279 Kg
341,Moto Guzzi MGX-21,3026000,1380.0 CC,15 Km/l,341 Kg
343,Kawasaki Z650RS,672000,649.0 CC,,192 Kg
344,Triumph Speed Triple 1200 RS,1695000,1160.0 CC,22 Km/l,198 Kg
345,Triumph Street Twin,795000,900.0 CC,18 Km/l,216 Kg
346,Ducati StreetFighter V4,1999000,1103.0 CC,,199 Kg
347,Kawasaki KX 100,487800,99.0 CC,55 Km/l,77 Kg
348,Ducati Hypermotard 950,1402278,937.0 CC,9 Km/l,176 Kg
349,Moto Guzzi V9 Bobber,1479000,850.0 CC,18 Km/l,199 Kg
350,Aprilia Tuono 660,1309000,659.0 CC,,183 Kg
352,BMW R 1200 R,1505000,1170.0 CC,20 Km/l,232 Kg
353,Triumph  Speed Twin,1099000,1200.0 CC,20.8 Km/l,216 Kg
354,Aprilia Tuono V4,2066000,1077.0 CC,14 Km/l,209 Kg
355,Harley-Davidson Heritage Softail Classic,1971000,1745.0 CC,15 Km/l,316 Kg
356,CFMoto 650MT,529000,649.0 CC,20 Km/l,218 Kg
357,BMW K 1600 GTL,2930000,1649.0 CC,13 Km/l,332 Kg
358,Indian Chieftain Dark Horse,2999000,1811.0 CC,18 Km/l,377 Kg
360,Moto Guzzi V85 TT,1540000,853.0 CC,20.4 Km/l,229 Kg
361,Indian Super Chief Limited,2282155,1890.0 CC,,324 Kg
362,Indian Chief Classic,2129500,1811.0 CC,20 Km/l,357 Kg
364,Cleveland Cyclewerks Ace Deluxe,223000,229.0 CC,33.98 Km/l,133 Kg
365,Harley-Davidson Road Glide Special,3299000,1745.0 CC,15 Km/l,372 Kg
367,Indian Chieftain Elite,3800000,1811.0 CC,18 Km/l,388 Kg
370,MV Agusta Brutale 1090,2102268,1078.0 CC,15 Km/l,183 Kg
371,BMW F900XR,1230000,895.0 CC,24 Km/l,219 Kg
373,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
374,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
375,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
376,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
377,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
378,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
379,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
380,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
381,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
382,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
383,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
384,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
385,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
386,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
387,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
388,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
389,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
390,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
391,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
392,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
393,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
394,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
395,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
396,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
397,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
398,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
399,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
400,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
401,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
402,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
403,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
404,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
405,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
406,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
407,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
408,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
409,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
410,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
411,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
412,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
413,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
414,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
415,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
416,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
417,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
418,Honda Dio,64510,109.5 CC,55 Km/l,103 Kg
419,Honda SP 125,78381,124.0 CC,65 Km/l,117 Kg
420,Hero HF Deluxe,48950,97.2 CC,83 Km/l,109 Kg
421,Royal Enfield Himalayan,210784,411.0 CC,45 Km/l,191 Kg
422,Royal Enfield Classic Chrome,188868,499.0 CC,27 Km/l,194 Kg
423,Royal Enfield Meteor 350,205844,349.0 CC,41.88 Km/l,183 Kg
424,Royal Enfield Bullet 350,127094,346.0 CC,45 Km/l,183 Kg
425,Hero Splendor +,69380,97.2 CC,70 Km/l,110 Kg
426,Honda CB Shine,72787,124.7 CC,65 Km/l,114 Kg
427,Honda Activa 6G,69645,109.5 CC,45 Km/l,107 Kg
428,Royal Enfield Classic 350,184374,349.0 CC,37 Km/l,195 Kg
429,Yamaha MT-15,144900,155.0 CC,48 Km/l,138 Kg
